Gene Name,Transcript Name,Description
Phvul.002G328604,Phvul.002G328604.1,PTHR16166//PTHR16166:SF100 - VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN  VPS13 // SUBFAMILY NOT NAMED (1 of 2)
Phvul.009G159600,Phvul.009G159600.2,PTHR21596:SF12 - PROTEIN SUPPRESSOR OF GENE SILENCING 3 (1 of 3)
Phvul.008G160000,Phvul.008G160000.1,
Phvul.011G109000,Phvul.011G109000.1,"K15341 - DNA cross-link repair 1B protein [EC:3.1.-.-] (DCLRE1B, SNM1B)  (1 of 1)"
Phvul.009G027100,Phvul.009G027100.2,PTHR13069:SF21 - PROTEIN C35D10.12 (1 of 1)
Phvul.003G136500,Phvul.003G136500.1,PTHR13878//PTHR13878:SF14 - GULONOLACTONE OXIDASE // SUBFAMILY NOT NAMED (1 of 4)
Phvul.011G212050,Phvul.011G212050.1,
Phvul.007G197200,Phvul.007G197200.1,PTHR11991 - TRANSLATIONALLY CONTROLLED TUMOR PROTEIN-RELATED (1 of 2)
Phvul.009G005100,Phvul.009G005100.1,3.1.3.15 - Histidinol-phosphatase (1 of 1)
Phvul.001G074400,Phvul.001G074400.1,PTHR10827:SF54 - CALCIUM-BINDING EF HAND FAMILY PROTEIN (1 of 1)
Phvul.005G068700,Phvul.005G068700.7,
Phvul.001G155300,Phvul.001G155300.3,
Phvul.001G204100,Phvul.001G204100.1,"K02885 - large subunit ribosomal protein L19e (RP-L19e, RPL19)  (1 of 3)"
Phvul.006G093200,Phvul.006G093200.2,PTHR10252//PTHR10252:SF49 - HISTONE-LIKE TRANSCRIPTION FACTOR CCAAT-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.001G235200,Phvul.001G235200.1,
Phvul.010G140800,Phvul.010G140800.1,3.1.3.75 - Phosphoethanolamine/phosphocholine phosphatase / PHOSPHO1 (1 of 7)
Phvul.001G248400,Phvul.001G248400.1,PF04588 - Hypoxia induced protein conserved region (HIG_1_N)  (1 of 4)
Phvul.006G185400,Phvul.006G185400.1,
Phvul.011G033000,Phvul.011G033000.3,
Phvul.003G217800,Phvul.003G217800.1,PTHR11709:SF82 - MONOCOPPER OXIDASE-LIKE PROTEIN SKU5 (1 of 2)
Phvul.002G274400,Phvul.002G274400.2,PF00646 - F-box domain (F-box)  (1 of 135)
Phvul.001G268800,Phvul.001G268800.3,
Phvul.011G030400,Phvul.011G030400.4,K00208 - enoyl- (fabI)  (1 of 2)
Phvul.009G067000,Phvul.009G067000.1,PTHR12864//PTHR12864:SF23 - RAN BINDING PROTEIN 9-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.003G082500,Phvul.003G082500.4,
Phvul.003G041000,Phvul.003G041000.3,
Phvul.005G171800,Phvul.005G171800.1,PTHR11814:SF85 - SULFATE TRANSPORTER 3.4-RELATED (1 of 2)
Phvul.001G210300,Phvul.001G210300.3,
Phvul.008G081200,Phvul.008G081200.1,"PTHR31451:SF17 - MANNAN ENDO-1,4-BETA-MANNOSIDASE 6 (1 of 2)"
Phvul.003G242000,Phvul.003G242000.2,
Phvul.001G183400,Phvul.001G183400.4,
Phvul.001G233600,Phvul.001G233600.1,PTHR13683:SF347 - CYSTEINE-RICH PEPTIDE FAMILY PROTEIN (1 of 2)
Phvul.006G181400,Phvul.006G181400.2,PTHR10751//PTHR10751:SF44 - GUANYLATE BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Phvul.002G218100,Phvul.002G218100.18,
Phvul.007G103000,Phvul.007G103000.1,PTHR22950:SF327 - LYSINE HISTIDINE TRANSPORTER-LIKE 6 (1 of 2)
Phvul.001G012700,Phvul.001G012700.1,K13082 - bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase (DFR)  (1 of 3)
Phvul.006G095300,Phvul.006G095300.1,PTHR23500:SF62 - SUGAR TRANSPORTER ERD6-LIKE 14-RELATED (1 of 4)
Phvul.002G291900,Phvul.002G291900.1,PF00651 - BTB/POZ domain (BTB)  (1 of 51)
Phvul.011G001600,Phvul.011G001600.1,PTHR10024:SF197 - C2 CALCIUM/LIPID-BINDING PLANT PHOSPHORIBOSYLTRANSFERASE FAMILY PROTEIN (1 of 1)
Phvul.002G266400,Phvul.002G266400.1,PTHR31221:SF17 - WRKY TRANSCRIPTION FACTOR 13-RELATED (1 of 2)
Phvul.011G039900,Phvul.011G039900.2,PTHR10795//PTHR10795:SF360 - PROPROTEIN CONVERTASE SUBTILISIN/KEXIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.009G154300,Phvul.009G154300.6,
Phvul.001G131450,Phvul.001G131450.1,"2.7.6.3 - 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / 7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (1 of 2)"
Phvul.002G174500,Phvul.002G174500.1,
Phvul.010G025400,Phvul.010G025400.1,PF00931//PF01582 - NB-ARC domain (NB-ARC)  // TIR domain (TIR)  (1 of 28)
Phvul.001G186400,Phvul.001G186400.1,PTHR11945:SF185 - AGAMOUS-LIKE MADS-BOX PROTEIN AGL62 (1 of 5)
Phvul.011G106800,Phvul.011G106800.1,4.2.3.105 - Tricyclene synthase (1 of 3)
Phvul.003G077200,Phvul.003G077200.1,
Phvul.001G044200,Phvul.001G044200.1,
Phvul.003G086400,Phvul.003G086400.3,
Phvul.011G187600,Phvul.011G187600.1,"K12190 - ESCRT-II complex subunit VPS36 (VPS36, EAP45)  (1 of 1)"
Phvul.008G235800,Phvul.008G235800.3,
Phvul.007G137300,Phvul.007G137300.1,PTHR10168:SF93 - GLUTAREDOXIN FAMILY PROTEIN (1 of 1)
Phvul.005G074300,Phvul.005G074300.1,K08838 - serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1] (STK24_25_MST4)  (1 of 3)
Phvul.004G008927,Phvul.004G008927.1,
Phvul.009G048100,Phvul.009G048100.1,PTHR15922:SF2 - NEUROBLASTOMA-AMPLIFIED SEQUENCE (1 of 1)
Phvul.003G068000,Phvul.003G068000.1,"K11662 - actin-related protein 6 (ACTR6, ARP6)  (1 of 1)"
Phvul.010G033866,Phvul.010G033866.1,4.1.1.97 - 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase / OHCU decarboxylase (1 of 1)
Phvul.008G007001,Phvul.008G007001.1,
Phvul.002G088900,Phvul.002G088900.2,
Phvul.006G215100,Phvul.006G215100.1,"K14571 - ribosome biogenesis ATPase (RIX7, NVL)  (1 of 1)"
Phvul.002G134200,Phvul.002G134200.1,PTHR10218:SF192 - EXTRA-LARGE GUANINE NUCLEOTIDE-BINDING PROTEIN 3 (1 of 2)
Phvul.004G112900,Phvul.004G112900.5,
Phvul.002G256900,Phvul.002G256900.1,PTHR10593//PTHR10593:SF41 - SERINE/THREONINE-PROTEIN KINASE RIO // SUBFAMILY NOT NAMED (1 of 6)
Phvul.005G156300,Phvul.005G156300.1,K01733 - threonine synthase (thrC)  (1 of 2)
Phvul.003G057100,Phvul.003G057100.1,
Phvul.002G018100,Phvul.002G018100.1,PTHR24361:SF334 - MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19-RELATED (1 of 3)
Phvul.008G155013,Phvul.008G155013.1,PTHR31374:SF56 - AUXIN-REGULATED PROTEIN-RELATED (1 of 1)
Phvul.002G237800,Phvul.002G237800.1,PF01535//PF13041//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 79)
Phvul.002G125200,Phvul.002G125200.1,KOG0156 - Cytochrome P450 CYP2 subfamily (1 of 118)
Phvul.009G190830,Phvul.009G190830.3,
Phvul.004G021900,Phvul.004G021900.1,KOG0156 - Cytochrome P450 CYP2 subfamily (1 of 118)
Phvul.007G067000,Phvul.007G067000.1,
Phvul.010G056800,Phvul.010G056800.2,
Phvul.005G168300,Phvul.005G168300.2,"PTHR31852:SF25 - LATE EMBRYOGENESIS ABUNDANT PROTEIN, GROUP 2 (1 of 2)"
Phvul.006G067200,Phvul.006G067200.1,
Phvul.011G023100,Phvul.011G023100.1,PTHR19241//PTHR19241:SF247 - ATP-BINDING CASSETTE TRANSPORTER // SUBFAMILY NOT NAMED (1 of 5)
Phvul.002G263400,Phvul.002G263400.1,PTHR22952//PTHR22952:SF172 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.007G108200,Phvul.007G108200.1,PTHR31165:SF13 - PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 1-RELATED (1 of 2)
Phvul.001G178600,Phvul.001G178600.1,"PTHR30603:SF9 - RNA POLYMERASE SIGMA FACTOR SIGF, CHLOROPLASTIC (1 of 2)"
Phvul.008G184300,Phvul.008G184300.1,PF01535//PF13041//PF14432 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // DYW family of nucleic acid deaminases (DYW_deaminase)  (1 of 79)
Phvul.008G243800,Phvul.008G243800.1,K05663 - mitochondrial ABC transporter ATM (ABC.ATM)  (1 of 1)
Phvul.011G039600,Phvul.011G039600.2,
Phvul.006G104700,Phvul.006G104700.3,
Phvul.004G000600,Phvul.004G000600.2,
Phvul.009G195700,Phvul.009G195700.1,
Phvul.004G017100,Phvul.004G017100.1,PTHR10791:SF42 - BIDIRECTIONAL SUGAR TRANSPORTER SWEET4-RELATED (1 of 5)
Phvul.007G079000,Phvul.007G079000.1,
Phvul.007G214300,Phvul.007G214300.1,PTHR22952//PTHR22952:SF167 - CAMP-RESPONSE ELEMENT BINDING PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.003G273100,Phvul.003G273100.1,PTHR10629:SF34 - DNA (CYTOSINE-5)-METHYLTRANSFERASE CMT2 (1 of 1)
Phvul.001G214600,Phvul.001G214600.5,
Phvul.007G251900,Phvul.007G251900.1,"K09419 - heat shock transcription factor, other eukaryote (HSFF)  (1 of 30)"
Phvul.011G035400,Phvul.011G035400.2,PTHR24072:SF171 - RAC-LIKE GTP-BINDING PROTEIN ARAC4-RELATED (1 of 3)
Phvul.005G009800,Phvul.005G009800.1,PTHR10366//PTHR10366:SF352 - NAD DEPENDENT EPIMERASE/DEHYDRATASE // SUBFAMILY NOT NAMED (1 of 5)
Phvul.010G066900,Phvul.010G066900.1,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)
Phvul.002G069100,Phvul.002G069100.1,
Phvul.L009643,Phvul.L009643.5,
Phvul.007G175300,Phvul.007G175300.2,
Phvul.007G040900,Phvul.007G040900.1,PF04450 - Peptidase of plants and bacteria (BSP)  (1 of 3)
Phvul.003G091700,Phvul.003G091700.3,
Phvul.006G180800,Phvul.006G180800.1,PTHR12499 - OPTIC ATROPHY 3 PROTEIN  OPA3 (1 of 1)
Phvul.005G124300,Phvul.005G124300.1,PTHR10992:SF886 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN (1 of 1)
Phvul.009G083900,Phvul.009G083900.4,
Phvul.006G063700,Phvul.006G063700.1,PF04859 - Plant protein of unknown function (DUF641) (DUF641)  (1 of 8)
Phvul.005G168000,Phvul.005G168000.1,"PTHR35461:SF1 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE: MSL1 (1 of 2)"
Phvul.005G056000,Phvul.005G056000.5,
Phvul.005G044500,Phvul.005G044500.1,6.3.4.2 - CTP synthase (glutamine hydrolyzing) / UTP--ammonia ligase (1 of 4)
Phvul.001G001700,Phvul.001G001700.1,3.4.21.26 - Prolyl oligopeptidase / Prolyl endopeptidase (1 of 2)
Phvul.002G181600,Phvul.002G181600.3,
Phvul.007G211400,Phvul.007G211400.1,PTHR31375:SF43 - GLYCOSIDE HYDROLASE FAMILY 28 PROTEIN / POLYGALACTURONASE (PECTINASE) FAMILY PROTEIN (1 of 2)
Phvul.002G015800,Phvul.002G015800.1,PTHR10743:SF1 - PROTEIN RER1C (1 of 2)
Phvul.008G039600,Phvul.008G039600.8,
Phvul.002G220100,Phvul.002G220100.1,PTHR27002:SF100 - G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RKS1 (1 of 2)
Phvul.003G161600,Phvul.003G161600.2,
Phvul.L005401,Phvul.L005401.1,PTHR24361//PTHR24361:SF355 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED (1 of 2)
Phvul.002G123800,Phvul.002G123800.2,
Phvul.003G052700,Phvul.003G052700.1,
Phvul.006G203600,Phvul.006G203600.1,PTHR32370:SF6 - ROOT PHOTOTROPISM PROTEIN 3 (1 of 2)
Phvul.004G091700,Phvul.004G091700.3,
Phvul.006G057900,Phvul.006G057900.1,PTHR27007:SF21 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE S.7-RELATED (1 of 2)
Phvul.003G200500,Phvul.003G200500.1,PTHR32263:SF6 - INACTIVE POLY [ADP-RIBOSE] POLYMERASE SRO4-RELATED (1 of 2)
Phvul.010G061100,Phvul.010G061100.1,PTHR22870//PTHR22870:SF226 - REGULATOR OF CHROMOSOME CONDENSATION // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G074900,Phvul.011G074900.1,PF02140//PF02449 - Galactose binding lectin domain (Gal_Lectin)  // Beta-galactosidase (Glyco_hydro_42)  (1 of 2)
Phvul.007G038900,Phvul.007G038900.1,PTHR14154//PTHR14154:SF18 - UPF0041 BRAIN PROTEIN 44-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.004G115000,Phvul.004G115000.1,K01052 - lysosomal acid lipase/cholesteryl ester hydrolase (LIPA)  (1 of 6)
Phvul.003G021800,Phvul.003G021800.3,
Phvul.001G014900,Phvul.001G014900.1,PTHR32227:SF69 - GLYCOSYL HYDROLASE FAMILY 17 PROTEIN (1 of 1)
Phvul.006G197400,Phvul.006G197400.1,PTHR10334//PTHR10334:SF231 - CYSTEINE-RICH SECRETORY PROTEIN-RELATED // SUBFAMILY NOT NAMED (1 of 2)
Phvul.004G049300,Phvul.004G049300.1,"K01180 - endo-1,3(4)-beta-glucanase (E3.2.1.6)  (1 of 6)"
Phvul.004G114200,Phvul.004G114200.2,
Phvul.002G245800,Phvul.002G245800.1,"K09493 - T-complex protein 1 subunit alpha (CCT1, TCP1)  (1 of 1)"
Phvul.011G157900,Phvul.011G157900.1,2.7.7.38 - 3-deoxy-manno-octulosonate cytidylyltransferase / CMP-KDO synthetase (1 of 1)
Phvul.003G005400,Phvul.003G005400.2,
Phvul.003G129300,Phvul.003G129300.1,PF12708 - Pectate lyase superfamily protein (Pectate_lyase_3)  (1 of 32)
Phvul.009G234200,Phvul.009G234200.1,PTHR31752:SF4 - AUXIN EFFLUX CARRIER COMPONENT 2 (1 of 6)
Phvul.001G097900,Phvul.001G097900.1,PF13041 - PPR repeat family (PPR_2)  (1 of 466)
Phvul.002G322800,Phvul.002G322800.1,KOG4473 - Uncharacterized membrane protein (1 of 10)
Phvul.011G009400,Phvul.011G009400.2,
Phvul.006G014500,Phvul.006G014500.2,3.1.1.4 - Phospholipase A(2) / Phospholipase A2 (1 of 3)
Phvul.006G176700,Phvul.006G176700.1,PF01933 - Uncharacterised protein family UPF0052 (UPF0052)  (1 of 1)
Phvul.006G137900,Phvul.006G137900.1,PTHR11132//PTHR11132:SF104 - SOLUTE CARRIER FAMILY 35 // SUBFAMILY NOT NAMED (1 of 4)
Phvul.006G166200,Phvul.006G166200.2,
Phvul.009G220900,Phvul.009G220900.2,
Phvul.008G273400,Phvul.008G273400.1,
Phvul.009G173800,Phvul.009G173800.1,
Phvul.005G160300,Phvul.005G160300.1,
Phvul.008G254100,Phvul.008G254100.1,PTHR23244//PTHR23244:SF324 - KELCH REPEAT DOMAIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.003G157100,Phvul.003G157100.4,
Phvul.010G091100,Phvul.010G091100.1,PTHR23155//PTHR23155:SF590 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 15)
Phvul.009G033400,Phvul.009G033400.1,
Phvul.003G187800,Phvul.003G187800.4,
Phvul.011G128400,Phvul.011G128400.1,PTHR11679:SF29 - SEC1 FAMILY DOMAIN-CONTAINING PROTEIN 2 (1 of 1)
Phvul.007G280000,Phvul.007G280000.2,
Phvul.006G073800,Phvul.006G073800.1,PTHR32468:SF29 - CATION/H(+) ANTIPORTER 24-RELATED (1 of 3)
Phvul.008G135400,Phvul.008G135400.1,"3.2.1.78 - Mannan endo-1,4-beta-mannosidase / Endo-1,4-mannanase (1 of 12)"
Phvul.002G260700,Phvul.002G260700.1,PTHR24326:SF196 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-16-RELATED (1 of 2)
Phvul.007G082600,Phvul.007G082600.1,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)
Phvul.006G085400,Phvul.006G085400.2,
Phvul.002G177400,Phvul.002G177400.2,
Phvul.009G148800,Phvul.009G148800.1,PTHR11183:SF56 - UDP-GLUCURONATE:XYLAN ALPHA-GLUCURONOSYLTRANSFERASE 3-RELATED (1 of 3)
Phvul.010G145600,Phvul.010G145600.1,PTHR19241:SF246 - ABC TRANSPORTER G FAMILY MEMBER 29 (1 of 2)
Phvul.002G072900,Phvul.002G072900.1,PTHR13902//PTHR13902:SF23 - SERINE/THREONINE-PROTEIN KINASE WNK  WITH NO LYSINE -RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G119300,Phvul.011G119300.1,PF04720 - PDDEXK-like family of unknown function (PDDEXK_6)  (1 of 14)
Phvul.004G174000,Phvul.004G174000.2,
Phvul.005G151300,Phvul.005G151300.1,K01188 - beta-glucosidase (E3.2.1.21)  (1 of 34)
Phvul.006G068200,Phvul.006G068200.2,PTHR11071//PTHR11071:SF291 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE // SUBFAMILY NOT NAMED (1 of 2)
Phvul.004G102500,Phvul.004G102500.1,
Phvul.001G131300,Phvul.001G131300.2,
Phvul.003G090000,Phvul.003G090000.1,PTHR27003:SF15 - LEUCINE-RICH REPEAT PROTEIN KINASE-LIKE PROTEIN (1 of 3)
Phvul.008G164000,Phvul.008G164000.1,PF00892 - EamA-like transporter family (EamA)  (1 of 74)
Phvul.006G221500,Phvul.006G221500.1,PTHR31384:SF28 - AUXIN RESPONSE FACTOR 1 (1 of 2)
Phvul.003G021000,Phvul.003G021000.1,PTHR33077:SF7 - PROTEIN TIFY 6A-RELATED (1 of 2)
Phvul.002G247200,Phvul.002G247200.1,PTHR17130:SF24 - GAN (1 of 1)
Phvul.011G195600,Phvul.011G195600.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.010G023600,Phvul.010G023600.1,PTHR24055:SF184 - SERINE/THREONINE-PROTEIN KINASE MHK (1 of 1)
Phvul.002G233800,Phvul.002G233800.1,PTHR24067:SF97 - UBIQUITIN-CONJUGATING ENZYME E2 24-RELATED (1 of 3)
Phvul.003G256800,Phvul.003G256800.2,PTHR11410 - ATP SYNTHASE SUBUNIT A (1 of 1)
Phvul.002G180300,Phvul.002G180300.1,1.1.3.15 - (S)-2-hydroxy-acid oxidase / Hydroxy-acid oxidase B (1 of 3)
Phvul.005G124600,Phvul.005G124600.1,PTHR11362:SF13 - PROTEIN TERMINAL FLOWER 1 (1 of 3)
Phvul.L002643,Phvul.L002643.1,PTHR19139//PTHR19139:SF55 - AQUAPORIN TRANSPORTER // SUBFAMILY NOT NAMED (1 of 3)
Phvul.002G070800,Phvul.002G070800.1,
Phvul.002G070500,Phvul.002G070500.1,"K07937//K07977 - ADP-ribosylation factor 1 (ARF1)  // Arf/Sar family, other (ARF)  (1 of 6)"
Phvul.008G241900,Phvul.008G241900.1,
Phvul.006G014500,Phvul.006G014500.3,
Phvul.008G020100,Phvul.008G020100.1,
Phvul.007G217400,Phvul.007G217400.2,K10406 - kinesin family member C2/C3 (KIFC2_3)  (1 of 13)
Phvul.002G256100,Phvul.002G256100.1,"K02892 - large subunit ribosomal protein L23 (RP-L23, MRPL23, rplW)  (1 of 4)"
Phvul.006G030100,Phvul.006G030100.4,
Phvul.007G161900,Phvul.007G161900.1,"PTHR11260//PTHR11260:SF222 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED (1 of 4)"
Phvul.001G247800,Phvul.001G247800.1,PTHR31045:SF4 - (Z)-GAMMA-BISABOLENE SYNTHASE 1-RELATED (1 of 2)
Phvul.002G232700,Phvul.002G232700.1,PTHR27001:SF39 - PROTEIN KINASE FAMILY PROTEIN (1 of 2)
Phvul.009G047800,Phvul.009G047800.1,PTHR22601:SF22 - OLIGOPEPTIDE TRANSPORTER 6-RELATED (1 of 2)
Phvul.003G064500,Phvul.003G064500.1,PTHR10516:SF324 - PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP62 (1 of 2)
Phvul.006G007380,Phvul.006G007380.1,"PTHR11661:SF7 - 50S RIBOSOMAL PROTEIN L11, CHLOROPLASTIC-RELATED (1 of 1)"
Phvul.006G020700,Phvul.006G020700.1,K04733 - interleukin-1 receptor-associated kinase 4 (IRAK4)  (1 of 48)
Phvul.001G072400,Phvul.001G072400.2,
Phvul.011G131100,Phvul.011G131100.2,
Phvul.L003037,Phvul.L003037.2,
Phvul.008G043000,Phvul.008G043000.1,PF03106 - WRKY DNA -binding domain (WRKY)  (1 of 91)
Phvul.007G237600,Phvul.007G237600.1,PF01097 - Arthropod defensin (Defensin_2)  (1 of 1)
Phvul.007G229300,Phvul.007G229300.1,PTHR11362:SF13 - PROTEIN TERMINAL FLOWER 1 (1 of 3)
Phvul.006G023900,Phvul.006G023900.1,PTHR31642:SF6 - HXXXD-TYPE ACYL-TRANSFERASE-RELATED (1 of 2)
Phvul.007G211100,Phvul.007G211100.1,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)
Phvul.003G054800,Phvul.003G054800.6,
Phvul.007G198600,Phvul.007G198600.1,PTHR18896:SF64 - PHOSPHOLIPASE D P2 (1 of 2)
Phvul.008G069100,Phvul.008G069100.1,2.4.1.241 - Digalactosyldiacylglycerol synthase / UDP-galactose:MGDG galactosyltransferase (1 of 2)
Phvul.009G123700,Phvul.009G123700.1,PF00892 - EamA-like transporter family (EamA)  (1 of 74)
Phvul.008G255700,Phvul.008G255700.4,
Phvul.001G179100,Phvul.001G179100.1,PTHR22814:SF113 - HEAVY-METAL-ASSOCIATED DOMAIN-CONTAINING PROTEIN-RELATED (1 of 2)
Phvul.005G154000,Phvul.005G154000.6,
Phvul.004G009100,Phvul.004G009100.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.007G084600,Phvul.007G084600.2,PF01190 - Pollen proteins Ole e I like (Pollen_Ole_e_I)  (1 of 29)
Phvul.009G165600,Phvul.009G165600.1,
Phvul.002G294200,Phvul.002G294200.1,PTHR23074:SF90 - P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASES SUPERFAMILY PROTEIN (1 of 2)
Phvul.L001647,Phvul.L001647.1,
Phvul.L002037,Phvul.L002037.1,PTHR11945:SF183 - AGAMOUS-LIKE MADS-BOX PROTEIN AGL80-RELATED (1 of 8)
Phvul.008G173000,Phvul.008G173000.1,PTHR12537:SF64 - PUMILIO HOMOLOG 11-RELATED (1 of 4)
Phvul.005G047700,Phvul.005G047700.1,
Phvul.007G163900,Phvul.007G163900.1,
Phvul.008G039600,Phvul.008G039600.5,
Phvul.010G041600,Phvul.010G041600.1,PTHR34954:SF2 - EXPRESSED PROTEIN (1 of 1)
Phvul.010G157700,Phvul.010G157700.3,
Phvul.001G244100,Phvul.001G244100.4,
Phvul.009G034400,Phvul.009G034400.1,PTHR31376:SF1 - PURINE PERMEASE 1-RELATED (1 of 2)
Phvul.001G088600,Phvul.001G088600.1,
Phvul.003G032000,Phvul.003G032000.1,
Phvul.002G137800,Phvul.002G137800.2,
Phvul.009G050350,Phvul.009G050350.1,PTHR23324:SF43 - PHOSPHATIDYLINOSITOL/PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH6-RELATED (1 of 6)
Phvul.003G197300,Phvul.003G197300.2,"K10084 - ER degradation enhancer, mannosidase alpha-like 1 (EDEM1)  (1 of 2)"
Phvul.008G246100,Phvul.008G246100.1,K03238 - translation initiation factor 2 subunit 2 (EIF2S2)  (1 of 1)
Phvul.006G126800,Phvul.006G126800.1,PF01535//PF13041//PF13812 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 46)
Phvul.011G069200,Phvul.011G069200.1,"KOG0508//KOG4412 - Ankyrin repeat protein // 26S proteasome regulatory complex, subunit PSMD10 (1 of 5)"
Phvul.005G181800,Phvul.005G181800.1,PTHR31429:SF3 - WRKY TRANSCRIPTION FACTOR 40-RELATED (1 of 4)
Phvul.001G064300,Phvul.001G064300.2,
Phvul.011G083200,Phvul.011G083200.1,
Phvul.011G208800,Phvul.011G208800.1,PTHR13683:SF298 - ASPARTIC PROTEINASE CDR1-RELATED (1 of 13)
Phvul.005G090300,Phvul.005G090300.1,K11251 - histone H2A (H2A)  (1 of 14)
Phvul.007G171800,Phvul.007G171800.3,
Phvul.007G080600,Phvul.007G080600.1,"PTHR10438:SF280 - THIOREDOXIN Y1, CHLOROPLASTIC-RELATED (1 of 1)"
Phvul.005G021500,Phvul.005G021500.5,
Phvul.004G149500,Phvul.004G149500.1,K13464 - jasmonate ZIM domain-containing protein (JAZ)  (1 of 9)
